account_balance,transaction_frequency_sent,transaction_frequency_received,unique_contacts_sent,unique_contacts_received,min_transaction_sent,max_transaction_sent,avg_transaction_sent,min_transaction_received,avg_transaction_received,total_sent,total_received,contract_interaction,contract_creation,fraud_label
-51.77678690368144,844.26,1093.71,116.0,40.0,0.0,31.22,1.200681,0.0,6.589513,865.6910932,586.4666748,0.0,0.0,0
-0.001818811,12709.07,2958.44,14.0,5.0,0.0,1.8,0.032844,0.0,0.385685,3.08729702,3.085478209,0.0,0.0,0
0.000441,246194.54,2434.02,2.0,10.0,0.05,3.538616,1.7943080000000002,0.113119,0.358906,3.58861565,3.58905665,0.0,0.0,0
-51.77678690368144,10219.6,15785.09,13.0,7.0,0.0,257.0,50.499508,0.0,99.48884,1739.8886351514464,895.399559,0.0,0.0,0
-50.89698629,36.61,10707.77,19.0,7.0,0.0,9.0,0.022688,0.0,2.671095,104.3188828,53.4218965,0.0,1.0,0
0.001008,9900.12,375.48,1.0,2.0,4.1668,5.5369160000000015,4.851858,0.7241479999999999,3.2349080000000003,9.70371586,9.70472386,0.0,0.0,0
0.016871896,69.46,629.44,20.0,9.0,0.009457,4.284785,0.482496,0.049,1.098115,12.0623941,12.079266,0.0,0.0,0
-4.2479024160000005,1497.39,176.84,3.0,3.0,0.0,0.7,0.040861,0.11849,0.891098,8.703392156,4.45548974,0.0,0.0,0
0.00062,0.0,0.0,1.0,1.0,1.99938,1.99938,1.99938,2.0,2.0,1.99938,2.0,0.0,0.0,0
-51.77678690368144,2570.59,3336.01,4.0,2.0,0.1,40.0,18.634625,0.1,16.7,149.077,50.1,0.0,0.0,0
0.007636018,32.45,12921.57,1.0,2.0,0.999088,1.01417,1.004055,1.000052,1.004819,10.04055439,10.04819041,0.0,0.0,0
0.004047714,3716.41,1448.09,3.0,4.0,0.01,257.0,50.499508,0.118061,3.381313,831.799,831.8030477000002,0.0,0.0,0
12.30665958,0.0,12431.27,0.0,4.0,0.0,0.0,0.0,0.0,0.769166,0.0,12.30665958,0.0,1.0,0
0.097217423,9520.7,5776.32,4.0,2.0,0.0,0.133441,0.037563,0.095,0.180079,0.262941117,0.36015854,0.0,0.0,0
-51.77678690368144,14106.66,3742.82,21.0,11.0,0.0,257.0,50.499508,0.0,77.125266,1739.8886351514464,1851.0063760000005,0.0,0.0,0
0.086741405,757.91,11.08,13.0,3.0,0.0,0.933444,0.044268,0.091844,0.530615,1.5051029580000002,1.591844363,0.0,1.0,0
0.023940002,3.13,4923.24,2.0,2.0,0.015617,0.277269,0.203593,0.016037,0.204013,11.6048114,11.6287514,0.0,0.0,0
-51.77678690368144,27681.45,11171.03,15.0,6.0,0.0,34.9,9.896423,0.09,16.564688,257.307,182.2115661,0.0,0.0,0
0.001323,770.29,3.82,3.0,1.0,3.7,20.082772,9.255226,7.772,13.8835,27.765677,27.767,0.0,0.0,0
0.001026218,163.78,1.11,2.0,2.0,0.61,100.388974,50.499487,44.048882,50.5,100.9989738,101.0,0.0,0.0,0
78.96385255,0.0,6324.45,0.0,5.0,0.0,0.0,0.0,0.0,5.662421,0.0,101.9235724,0.0,1.0,0
-51.77678690368144,725.77,41108.66,3.0,4.0,2.0,30.950276,22.441764000000006,0.0,8.407243,157.09235049999995,58.85070376,0.0,0.0,0
0.002245057,91.14,64.3,5.0,4.0,0.377203,2.851287,1.749551,0.5,2.1875,8.747754943,8.75,0.0,0.0,0
33.07587621,2477.34,6928.28,2.0,1.0,0.1,2.0,1.2625,0.013556,0.342666,10.1,43.17587621,0.0,0.0,0
78.96385255,0.0,13339.9,0.0,6.0,0.0,0.0,0.0,0.0,4.860215,0.0,82.62366163,0.0,1.0,0
0.00126,0.0,0.0,1.0,1.0,4.99774,4.99774,4.99774,4.999,4.999,4.99774,4.999,0.0,0.0,0
-27.341,1797.42,60933.08,7.0,3.0,0.0,30.0,0.760256,0.0,11.666667,62.341,35.0,0.0,0.0,0
0.00126,0.0,0.0,1.0,1.0,0.546389,0.546389,0.546389,0.5476489999999999,0.5476489999999999,0.54638892,0.54764892,0.0,0.0,0
-3.882478376,155.22,112602.93,3.0,3.0,2.0,2.379635,2.104909,0.0,1.512385,8.419634776,4.5371564000000015,0.0,0.0,0
-51.77678690368144,14626.26,6594.93,34.0,7.0,0.0,257.0,43.052269,0.00979,101.0,1739.8886351514464,2001.0,0.0,0.0,0
26.75944516,0.0,5498.63,0.0,4.0,0.0,0.0,0.0,0.0,0.504895,0.0,26.75944516,0.0,1.0,0
0.00761642,3.33,51068.75,1.0,8.0,0.923126,20.797915,5.621492,0.022663,5.11114,56.21491815,56.22253457,0.0,0.0,0
1.74798122,1128.56,0.0,2.0,1.0,0.0,0.0,0.0,1.7479810000000002,1.7479810000000002,0.0,1.74798122,0.0,0.0,0
0.039265736,2152.95,680.22,6.0,1.0,0.0,0.060734,0.011073,0.05,0.075,0.110734264,0.15,0.0,0.0,0
78.96385255,0.0,648.26,0.0,4.0,0.0,0.0,0.0,0.0,1.618731,0.0,1123.399095,0.0,1.0,0
-51.77678690368144,45.91,58.88,116.0,344.0,0.0,257.0,37.84572100000001,0.0,74.622817,1739.8886351514464,2001.0,0.0,0.0,0
0.003,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.003,0.003,0.0,0.003,0.0,0.0,0
0.03299662,1067.84,128.81,4.0,1.0,0.0,257.0,50.499508,0.443993,1.055731,1739.8886351514464,2001.0,0.0,0.0,0
-5.4671892999999985,1051.87,85496.6,3.0,2.0,0.0069999999999999,5.544,3.683667,0.0,1.395953,11.050999999999998,5.583810700000001,0.0,0.0,0
44.0,2.12,0.92,2.0,3.0,0.0,0.0,0.0,1.0,11.0,0.0,44.0,0.0,3.0,0
0.952613114,17441.04,1245.91,4.0,2.0,0.0,20.0,6.226376,1.0,18.996667,56.03738689,56.99,0.0,0.0,0
-51.77678690368144,45561.42,26284.49,5.0,7.0,0.0,99.0,20.32769200000001,0.0,21.925,264.26,175.4,0.0,0.0,0
-8.166350999999999,379.78,56424.63,1.0,6.0,4.5,4.5,4.5,0.0,0.888941,13.5,5.3336489999999985,0.0,0.0,0
-17.34361821,1478.05,51541.26,11.0,3.0,0.0,20.0,2.307983,0.0,9.803306,76.16345259,58.81983438,0.0,0.0,0
0.001026218,164.22,0.0,2.0,1.0,1.335323,99.663651,50.499487,101.0,101.0,100.9989738,101.0,0.0,0.0,0
0.003489099,1790.44,450.56,2.0,5.0,0.199528,9.999545,2.614933,0.2,2.615514,15.68959511,15.69308421,0.0,0.0,0
-6.9114960000000005,803.95,112925.21,2.0,2.0,6.955496000000001,6.956,6.955748,0.0,2.333333,13.911496,7.0,0.0,0.0,0
-1.6564050330000002,18649.44,15420.31,6.0,3.0,0.0,1.9,0.759219,0.195,1.67375,8.351405032999999,6.695,0.0,0.0,0
-10.64504551,65.85,32.24,116.0,344.0,0.0,257.0,15.276167,0.0,18.736369,1739.8886351514464,2001.0,0.0,0.0,0
-51.77678690368144,181.7,56819.72,7.0,5.0,0.1,225.0,50.499508,0.0,63.085,714.2,315.425,0.0,0.0,0
-51.77678690368144,23359.72,27049.27,23.0,6.0,0.0,257.0,50.499508,0.0,101.0,1739.8886351514464,2001.0,0.0,0.0,0
-51.77678690368144,20827.93,0.0,2.0,1.0,1.621938,26.0,12.688992,10.0,10.0,101.5119377,10.0,0.0,0.0,0
-34.0981,4183.18,1470.01,103.0,57.0,0.0,240.0,3.288313,0.0731,4.007761,595.1846,561.0865,0.0,0.0,0
-51.77678690368144,1969.46,288.59,13.0,4.0,0.0,100.0,6.758479,0.09,25.810391,324.407,258.1039104,0.0,0.0,0
-51.77678690368144,76.32,74.96,116.0,344.0,0.0,257.0,43.26697,3.8e-05,21.959042,1739.8886351514464,2001.0,0.0,2.0,0
0.002762225,26.01,82.8,1.0,5.0,0.769559,1.299528,1.047197,0.77,1.047658,6.283183805,6.28594603,0.0,0.0,0
0.0013463879999999,8174.66,3.43,1.0,1.0,0.01,0.379654,0.146551,0.001,0.147,0.439653612,0.441,0.0,0.0,0
0.00536902,628.48,672.28,4.0,2.0,0.0,5.0,1.3723459999999998,0.740937,3.433549,6.86172829,6.86709731,0.0,0.0,0
0.00105,0.0,0.0,1.0,1.0,0.8538209999999999,0.8538209999999999,0.8538209999999999,0.8548709999999999,0.8548709999999999,0.85382138,0.85487138,0.0,0.0,0
0.00042,0.0,0.0,1.0,1.0,0.134569,0.134569,0.134569,0.134989,0.134989,0.13456893,0.13498893,0.0,0.0,0
0.05797088,22.94,14237.49,1.0,1.0,0.002319,0.121958,0.047446,0.017319,0.050856,0.80657981,0.86455069,0.0,0.0,0
42.06374870000001,7750.02,59605.36,5.0,2.0,0.0,5.693,1.013286,0.545459,6.1445940000000006,7.093,49.1567487,0.0,0.0,0
0.090278633,621.07,5012.75,10.0,9.0,0.0,257.0,48.273105,0.5,39.759632,675.82347,675.9137486000002,0.0,4.0,0
-1.622766947,13243.1,38530.77,6.0,5.0,0.0,1.716638,0.421015,0.0,0.270796,3.789138127,2.16637118,0.0,0.0,0
50.00667943,5815.7,845.41,30.0,1.0,5.0508510000000015,13.321637,6.696126,0.20001,0.24501,200.883777,250.89045640000003,0.0,0.0,0
-3.670073533,1905.13,728.9,8.0,4.0,0.0,74.0,0.647486,0.5,12.769696,80.28824888,76.61817535,0.0,0.0,0
0.001907957,24.63,3319.39,1.0,3.0,0.038953,10.80458,5.281031,0.04,5.281667,15.84309204,15.845,0.0,0.0,0
0.0048509999999999,59.56,24076.63,2.0,2.0,0.00074,0.668866,0.21567,0.001,0.173506,0.86268094,0.86753194,0.0,0.0,0
0.000441,0.0,0.0,1.0,1.0,10.615271,11.999559,11.999559,12.0,12.0,11.999559,12.0,0.0,0.0,0
-19.90586873,56814.86,62086.18,3.0,2.0,4.952493,19.953375,13.301956,0.0,10.0,39.90586873,20.0,0.0,0.0,0
0.001886545,2.23,0.0,4.0,2.0,0.001078,257.0,50.499508,101.0,101.0,1739.8886351514464,2001.0,0.0,0.0,0
0.012708609,52.48,287.13,1.0,13.0,1.761261,6.328314,2.375185,1.761724,2.036327,57.00443406,57.01714267,0.0,0.0,0
-17.96892874,1466.39,44699.56,2.0,5.0,0.0,49.999365,15.753561,0.0,10.936062,94.52136494,76.5524362,0.0,0.0,0
0.004221,25905.07,1129.25,2.0,1.0,0.002079,27.516406,11.41756,0.099,13.701916,68.50535928,68.50958028,0.0,0.0,0
-14.6304328,3834.85,2945.2,63.0,18.0,0.0,52.0,3.5717830000000004,0.0,7.878402,432.1857424,417.5553096,0.0,0.0,0
0.025560232,3880.52,1645.59,12.0,5.0,0.0,8.0,2.350007,0.99,4.114642,49.35013842,49.37569865,0.0,0.0,0
-50.42288815,21466.84,20051.27,11.0,5.0,0.0,19.0,4.835781,0.0,6.755565,111.2229715,60.80008333,0.0,0.0,0
-0.367999256,1904.23,4621.92,11.0,9.0,0.0,7.0,1.118571,0.01,1.9476830000000005,17.89714367,17.52914441,0.0,0.0,0
-14.37230628,248.61,17068.13,72.0,9.0,0.0,257.0,1.206055,0.0,72.622476,1394.199349,1379.827042,0.0,0.0,0
-51.77678690368144,10154.24,5026.86,41.0,10.0,0.0,48.0,3.933071,0.0,10.501527,342.1772031000001,262.5381628,0.0,0.0,0
0.31,674.61,221.0,10.0,2.0,0.0,250.0,15.825,0.01,63.3775,253.2,253.51,0.0,0.0,0
-51.77678690368144,3517.86,7188.55,22.0,11.0,0.0,257.0,50.499508,0.0,101.0,1739.8886351514464,2001.0,0.0,0.0,0
0.00252,20.41,0.0,4.0,1.0,0.2,69.15464200000001,20.199496,101.0,101.0,100.99748,101.0,0.0,0.0,0
46.27232361,0.0,8831.65,0.0,5.0,0.0,0.0,0.0,0.0,1.402192,0.0,46.27232361,0.0,1.0,0
0.35855313,244.78,169.09,4.0,3.0,0.0,0.3,0.010066,0.009559,0.121569,0.614,0.97255313,0.0,0.0,0
0.0022,0.0,0.0,1.0,1.0,0.447277,0.447277,0.447277,0.4494770000000001,0.4494770000000001,0.44727692,0.44947692,0.0,0.0,0
0.00062,0.0,0.0,1.0,1.0,0.8669899999999999,0.8669899999999999,0.8669899999999999,0.86761,0.86761,0.8669901309999999,0.867610131,0.0,0.0,0
-0.380176274,408.32,170321.78,2.0,2.0,0.041,0.4,0.280059,0.0,0.23,0.8401762740000001,0.46,0.0,0.0,0
-18.67313494,5801.32,3041.25,24.0,10.0,0.0,100.0,8.995439,0.060587,18.64848,764.6123200000002,745.9391851,0.0,0.0,0
